kind,source_file,source_line,match_text,target_day,target_page,target_page_end,target_file,anchor_present,decision,notes,context
bare-page,content/appendix/05-day-5.qmd,131,page 24,,24,,content/appendix/05-day-5.qmd,Y,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Recall the emphasis on *innovation* in the discussion of Point 1 in *Out of the Crisis*. There (on page 24*[25]* of his book) Dr Deming states unambiguously that [""Innovation, the foundation of the..."
bare-page,content/appendix/05-day-5.qmd,183,page 103,,103,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,This is where Dr Deming saw this Deadly Disease as being its most damaging (*Out of the Crisis* page 103 *[121]*):
bare-page,content/appendix/05-day-5.qmd,209,pages 151–152,,151,152,,N,external-work-candidate,external-book candidate (also spans pages 151-152): book-title/author match nearby,"There is considerable wisdom in understanding the *limitations* of figures as a vital part of maturity in the Scientific Approach—or indeed of a statistician—but it is rare. For some exceptions, th..."
bare-page,content/appendix/06-day-7.qmd,83,page 7,,7,,content/appendix/02-day-2.qmd | content/appendix/contributions-balaji-reddie/02-prelude-b-statistical-thinking.qmd,Y,link,multiple candidate anchors: content/appendix/02-day-2.qmd | content/appendix/contributions-balaji-reddie/02-prelude-b-statistical-thinking.qmd,"Faults in education were stated well by Edward A Reynolds in *Standardization News* (Philadelphia), April 1983, page 7:"
bare-page,content/appendix/09-day-11.qmd,21,page 143,,143,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"As we know, Points 1 and 5 and the first Deadly Disease are concerned with genuine, sustained and sustainable improvement, and that most certainly is what the Deming Cycle is for. Although the Plan..."
bare-page,content/appendix/09-day-11.qmd,33,page 103,,103,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Nevertheless, it could well be possible to see strong links between just this one aspect of Part D (let alone all the rest of it) and the need to adopt all the 14 Points and eliminate all the Deadl..."
bare-page,content/appendix/10-optional-extras.qmd,85,page 196,,196,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Burr. Some of them look remarkably like ...
bare-page,content/appendix/10-optional-extras.qmd,123,page 120,,120,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"[""A better description of the world is the Taguchi loss function""]{.deming_quote} said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basically it's the rather reas..."
bare-page,content/appendix/10-optional-extras.qmd,145,page 10,,10,,content/appendix/02-day-2.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,^a^ (page 10)   This quotation from the Deming A5 Booklet W2 (formally BDA Booklet W2) has been reproduced with the approval of the Deming Transformation Forum.
bare-page,content/appendix/contributions-balaji-reddie/01-prelude-a-system.qmd,9,page 35,,35,,content/appendix/06-day-7.qmd,Y,external-work-candidate,external-book candidate: bracketed alternate-edition page,"What exactly did Dr Deming mean by a ""system""? On *The New Economics* page 35 *[50]* he provided this description: [""A system is a network of interdependent components that work together to try to ..."
bare-page,content/appendix/contributions-balaji-reddie/01-prelude-a-system.qmd,25,page 36,,36,,content/appendix/06-day-7.qmd,Y,external-work-candidate,external-book candidate: bracketed alternate-edition page,"On *The New Economics* page 36 *[51]*, Dr Deming included a suggestion for the aim of a system in which human beings are involved. It was [""for everybody to gain … over the long term""]{.deming_quot..."
bare-page,content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,11,page 69,,69,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,The following sentence (*The New Economics* page 69 [102]) is a summary of what Dr Deming saw as necessary for conveying knowledge (as opposed to information):
bare-page,content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,76,page 247,,247,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Suppose we are studying a particular process. Let's assume we know of five factors that are likely to be affecting its performance. After observing the process for some time, we have a hunch that o..."
bare-page,content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,86,page 275,,275,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"[]{#sec-page18}These were the starting-points in the three cases. Then what? In the case of the young boy, he began to observe carefully and eventually came up with his initial theory: ""Kick ⇒ Star..."
bare-page,content/appendix/contributions-balaji-reddie/04-prelude-d-people.qmd,13,page 278,,278,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"For a start, a particularly important issue which arose in Prelude C is that we are all born with the natural desire to learn. Dr Deming most certainly subscribed to this belief, but also pointed o..."
bare-page,content/appendix/contributions-balaji-reddie/04-prelude-d-people.qmd,39,page 74,,74,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"(This statement is revisited on *The New Economics* page 74 [109].) So if your salary were doubled, starting tomorrow, will your work improve? You would doubtless be pleased, but would your work *i..."
bare-page,content/appendix/contributions-balaji-reddie/04-prelude-d-people.qmd,55,page 219,,219,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"During Day 8 you have already seen another ""startling"" statement, this time on *DemDim* page 219 when reading about competition in Chapter 15. It was:"
bare-page,content/appendix/contributions-balaji-reddie/04-prelude-d-people.qmd,101,pages 75–77,,75,77,,N,external-work-candidate,external-book candidate (also spans pages 75-77): bracketed alternate-edition page,"The notion that people always need a ""reward"" for doing good things has become so deep-seated that Dr Deming occasionally fell into the same trap himself! He referred to this mistake as ""overjustif..."
bare-page,content/appendix/contributions-balaji-reddie/05-coda.qmd,9,page 85,,85,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Even before Prelude A began, we observed that Dr Deming, the man who largely catalysed the industrial turnround of Japan after World War Two, thought differently about how to look at things happeni..."
bare-page,content/appendix/contributions-balaji-reddie/06-lessons-from-history.qmd,42,page 250,,250,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,You can probably immediately recognise what he meant by that. It's well-summarised in his words on *DemDim* page 250:
bare-page,content/appendix/contributions-balaji-reddie/06-lessons-from-history.qmd,192,pages 241–244,,241,244,,N,external-work-candidate,external-book candidate (also spans pages 241-244): book-title/author match nearby,"[^a]: The ""Epilogue"" on pages 241–244 of Mary Walton's book *The Deming Management Method* contains a much more substantial account of Dr Deming's presentation at that Deming Prize Ceremony. The ab..."
bare-page,content/appendix/contributions-balaji-reddie/06-lessons-from-history.qmd,192,page 243,,243,,,N,anchor-needed,,"[^a]: The ""Epilogue"" on pages 241–244 of Mary Walton's book *The Deming Management Method* contains a much more substantial account of Dr Deming's presentation at that Deming Prize Ceremony. The ab..."
bare-page,content/appendix/optional-extras/02-part-b-subgrouped.qmd,119,page 46,,46,,content/appendix/10-optional-extras.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"The tables and notation being included here are extracts from the table of control-chart constants on page 46 of *EST*, my book of *Elementary Statistics Tables*. Those tables cover a wider variety..."
bare-page,content/appendix/optional-extras/02-part-b-subgrouped.qmd,179,page 155,,155,,,N,anchor-needed,,There is one aspect of the *Japanese Control Chart* that I must advise you *not* to copy unless you already have really considerable knowledge and understanding of your process. That was the way in...
bare-page,content/appendix/optional-extras/03-part-c-ne-er-twain.qmd,23,page 286,,286,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"You, the Deming/Shewhart student, might well like to convince the conventional Statistics student that those supposed mathematical underpinnings are irrelevant. But how can you, if you know not wha..."
bare-page,content/appendix/optional-extras/03-part-c-ne-er-twain.qmd,31,page 286,,286,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"[]{#sec-optional-extras-page-30}Firstly, there was the extract from *Out of the Crisis* page 286[pages 334–335] that I have just mentioned, and I make no apology for repeating part of the final sen..."
bare-page,content/appendix/optional-extras/03-part-c-ne-er-twain.qmd,31,pages 334–335,,334,335,,N,external-work-candidate,external-book candidate (also spans pages 334-335): book-title/author match nearby,"[]{#sec-optional-extras-page-30}Firstly, there was the extract from *Out of the Crisis* page 286[pages 334–335] that I have just mentioned, and I make no apology for repeating part of the final sen..."
bare-page,content/appendix/optional-extras/03-part-c-ne-er-twain.qmd,37,page 12,,12,,content/appendix/02-day-2.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,Then there was this extract from page 12 of Shewhart's 1939 book:
bare-page,content/appendix/optional-extras/03-part-c-ne-er-twain.qmd,41,page 4,,4,,content/appendix/01-day-1.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"And finally there was this passionate language from Deming when he was speaking to some senior executives in France in 1989 (recorded in *Profound Knowledge*, BDA Booklet A6 page 4 and recently alr..."
bare-page,content/appendix/optional-extras/04-part-d-crash-course.qmd,525,pages 182–183,,182,183,,N,external-work-candidate,external-book candidate (also spans pages 182-183): book-title/author match nearby,"Of course, usually our sample sizes *n* are rather small compared with ""$n \to \infty$""!  But what makes the Central Limit Theorem even more attractive is that, almost always, the movement toward n..."
bare-page,content/appendix/optional-extras/05-part-e-normality.qmd,13,page 18,,18,,content/appendix/03-day-3.qmd | content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"But what about those control-chart constants like 2.66? Now, some nice mathematics *is* needed in order to derive them. And it is true that they are derived using the model of a normal distribution..."
bare-page,content/appendix/optional-extras/05-part-e-normality.qmd,55,page 309,,309,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"As already implied when referring to random sampling, many examples of probability calculations, both at the introductory stage and later, make use of considerations of *symmetry*, which is where t..."
bare-page,content/appendix/optional-extras/05-part-e-normality.qmd,59,page 18,,18,,content/appendix/03-day-3.qmd | content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,Y,link,multiple candidate anchors: content/appendix/03-day-3.qmd | content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,So what should be done? Let me complete Shewhart's quotation to which I alluded in the [second paragraph of page 57](05-part-e-normality.qmd#sec-optional-extras-page-57) (from page 18 of his 1931 b...
bare-page,content/appendix/optional-extras/06-part-f-technical.qmd,25,pages 82–84,,82,84,,N,external-work-candidate,external-book candidate (also spans pages 82-84): book-title/author match nearby,"As you know by now, I have always been quite keen on using computer simulation studies when faced with problems that are difficult or impossible to solve just by Mathematics: simulation studies do ..."
bare-page,content/appendix/optional-extras/06-part-f-technical.qmd,517,pages 18–19,,18,19,content/appendix/03-day-3.qmd | content/appendix/contributions-balaji-reddie/03-prelude-c-learning.qmd,Y,external-work-candidate,external-book candidate (also spans pages 18-19): book-title/author match nearby,Part D includes a fairly extensive introduction and discussion on the normal distribution. So effectively all that is left is ([as promised on page 50](04-part-d-crash-course.qmd#sec-optional-extra...
bare-page,content/appendix/optional-extras/06-part-f-technical.qmd,517,pages 34–35,,34,35,content/appendix/06-day-7.qmd,Y,external-work-candidate,external-book candidate (also spans pages 34-35): book-title/author match nearby,Part D includes a fairly extensive introduction and discussion on the normal distribution. So effectively all that is left is ([as promised on page 50](04-part-d-crash-course.qmd#sec-optional-extra...
bare-page,content/appendix/optional-extras/06-part-f-technical.qmd,570,pages 14–16,,14,16,content/appendix/03-day-3.qmd,Y,external-work-candidate,external-book candidate (also spans pages 14-16): book-title/author match nearby,There's just one piece of the jigsaw left to fit in. You'll recall the guidance that it's reasonable to use the normal distribution as an approximation if $np \geq 5$ (with $p \leq q$). So how abou...
bare-page,content/appendix/optional-extras/06-part-f-technical.qmd,570,page 17,,17,,content/appendix/03-day-3.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,There's just one piece of the jigsaw left to fit in. You'll recall the guidance that it's reasonable to use the normal distribution as an approximation if $np \geq 5$ (with $p \leq q$). So how abou...
bare-page,content/days/day-01/03-statistics.qmd,72,page 76,1,76,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,amused by a paragraph I wrote on page 76 of the second edition of my little book of *Statistics Tables* (published in 2011):
bare-page,content/days/day-01/03-statistics.qmd,82,page 2,1,2,,content/days/day-01/02-rediscovered.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"Second Edition” on page 2 of my *Elementary Statistics Tables* (to be similarly abbreviated by *EST*), which"
bare-page,content/days/day-01/03-statistics.qmd,98,page 7,1,7,,content/days/day-01/03-statistics.qmd,Y,link,,"are in practice. Second, I’ll remind you of something I mentioned on page 7 of the Welcome section:"
bare-page,content/days/day-01/03-statistics.qmd,159,page 18,1,18,,content/days/day-01/06-outline.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"from page 18 of Shewhart’s 1931 book which, early this afternoon, you will see described in glowing terms"
bare-page,content/days/day-01/04-resources.qmd,75,page 114,1,114,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,give you the page references for *both* editions. I’ll do this by using e.g. “page 114[164]” or similarly
bare-page,content/days/day-01/04-resources.qmd,76,pages 57–60,1,57,60,,N,external-work-candidate,external-book candidate (also spans pages 57-60): bracketed alternate-edition page,“pages 57–60[82–87]” where page 114 and pages 57–60 refer to the new edition and page 164 and pages
bare-page,content/days/day-01/04-resources.qmd,76,page 114,1,114,,,N,anchor-needed,,“pages 57–60[82–87]” where page 114 and pages 57–60 refer to the new edition and page 164 and pages
bare-page,content/days/day-01/04-resources.qmd,76,pages 57–60,1,57,60,,N,range,"spans pages 57-60, needs editorial judgement on link target",“pages 57–60[82–87]” where page 114 and pages 57–60 refer to the new edition and page 164 and pages
bare-page,content/days/day-01/04-resources.qmd,76,page 164,1,164,,,N,anchor-needed,,“pages 57–60[82–87]” where page 114 and pages 57–60 refer to the new edition and page 164 and pages
bare-page,content/days/day-01/06-outline.qmd,79,page 300,1,300,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"(However, referring e.g. to *Out of the Crisis* page 300[pages 351–352], it is clear that he had been using"
bare-page,content/days/day-01/06-outline.qmd,79,pages 351–352,1,351,352,,N,external-work-candidate,external-book candidate (also spans pages 351-352): book-title/author match nearby,"(However, referring e.g. to *Out of the Crisis* page 300[pages 351–352], it is clear that he had been using"
bare-page,content/days/day-01/06-outline.qmd,179,page 18,1,18,,content/days/day-01/06-outline.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,subsequently based BDA Booklet A6: *Profound Knowledge* on the event. This quotation on page 18
bare-page,content/days/day-01/11-deming-story.qmd,149,page 27,1,27,,content/days/day-01/09-different.qmd,Y,link,,those page numbers refer to page 27 of the Third Edition and page 37 of the Second Edition.</span>) He described
bare-page,content/days/day-01/11-deming-story.qmd,149,page 37,1,37,,content/days/day-01/11-deming-story.qmd,Y,link,,those page numbers refer to page 27 of the Third Edition and page 37 of the Second Edition.</span>) He described
bare-page,content/days/day-01/11-deming-story.qmd,188,page 8,1,8,,content/days/day-01/03-statistics.qmd,Y,link,,"But there was another important reason why the Japanese listened to, and learned from, Deming. Koyanagi expressed it well on page 8 of *The Deming Prize* (1960):"
bare-page,content/days/day-01/11-deming-story.qmd,192,page 6,1,6,,content/days/day-01/02-rediscovered.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"But *what* did the Japanese learn from him? *How* did he do his best for them? Was it just “Statistics”? That is what some well-known writers claim. For example, in the *Sunday Times* (London, 14 F..."
bare-page,content/days/day-01/11-deming-story.qmd,198,pages 24–27,1,24,27,,N,external-work-candidate,external-book candidate (also spans pages 24-27): book-title/author match nearby,"What did he mean by <span class=deming_quote>“the theory of a system, and cooperation”</span>? There follows an abbreviated form of his own seven-point summary of his teaching in Japan during that ..."
bare-page,content/days/day-01/11-deming-story.qmd,200,page 3,1,3,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"<span class=neave_note>The two diagrams shown on the next page, or close variants of them, will be seen again, particularly on Days 9 and 4 respectively. Their importance is indicated by the fact t..."
bare-page,content/days/day-01/11-deming-story.qmd,200,pages 3–4,1,3,4,,N,external-work-candidate,external-book candidate (also spans pages 3-4): book-title/author match nearby,"<span class=neave_note>The two diagrams shown on the next page, or close variants of them, will be seen again, particularly on Days 9 and 4 respectively. Their importance is indicated by the fact t..."
bare-page,content/days/day-01/11-deming-story.qmd,235,page 3,1,3,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,<span class=neave_note>An updated version of the Chain Reaction appears on *Out of the Crisis* page 3 (both editions). There the final three steps stay the same. The first step becomes simply <span...
bare-page,content/days/day-01/11-deming-story.qmd,243,page 77,1,77,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,So what were some of the consequences of Deming’s teaching to the Japanese in the summer of 1950? Let’s take the short term first. I’ll move to Chapter 7: “What Happened in Japan?” in Mrs Kilian’s ...
bare-page,content/days/day-01/11-deming-story.qmd,282,page 18,1,18,,content/days/day-01/06-outline.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,30 years after the breakthrough in Japan). As Mrs Kilian later wrote on page 18 of her biography:
bare-page,content/days/day-01/12-intro-activity.qmd,20,page 270,1,270,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"1986, on *Out of the Crisis* page 270[315], Deming was instead saying:"
bare-page,content/days/day-02/02-intro-to-the-red-beads-experiment.qmd,17,page 142,2,142,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"However, before we begin, here's a warning. I first read about the Experiment on Red Beads at least three years before I first saw it carried out at Dr Deming's London four-day seminar in 1985. My ..."
bare-page,content/days/day-02/02-intro-to-the-red-beads-experiment.qmd,17,page 299,2,299,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"However, before we begin, here's a warning. I first read about the Experiment on Red Beads at least three years before I first saw it carried out at Dr Deming's London four-day seminar in 1985. My ..."
bare-page,content/days/day-02/05-the-truth-the-whole-truth-and-nothing-but.qmd,48,page 107,2,107,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"The Foreman then takes the paddle over to the Inspection Department, so that both the junior inspectors and the Chief Inspector can learn their jobs. Inspection can be a tedious operation, thus inc..."
bare-page,content/days/day-02/06-your-turn.qmd,529,page 103,2,103,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"After a couple of pages of introduction to the Experiment on Red Beads at the beginning of *DemDim* Chapter 6, the data presented in Activity 2–f are discussed from the top of *DemDim* page 103. So..."
bare-page,content/days/day-03/01-variation-the-enemy-of-quality.qmd,31,pages 2–3,3,2,3,content/days/day-03/01-variation-the-enemy-of-quality.qmd,Y,external-work-candidate,external-book candidate (also spans pages 2-3): book-title/author match nearby,"Next, as promised on Day 1, here is a rather longer extract from Dr Deming's account of what happened at the Western Electric Company back in the 1920s. This is again transcribed directly from the ..."
bare-page,content/days/day-03/01-variation-the-enemy-of-quality.qmd,45,page 270,3,270,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Unexpected as it might be, it seems that Dr Deming first used the terms ""common cause"" and ""special cause"" around 1947 in discussions on *prison riots* (see *Out of the Crisis* page 270(pages 314–3..."
bare-page,content/days/day-03/01-variation-the-enemy-of-quality.qmd,45,pages 314–315,3,314,315,,N,external-work-candidate,external-book candidate (also spans pages 314-315): book-title/author match nearby,"Unexpected as it might be, it seems that Dr Deming first used the terms ""common cause"" and ""special cause"" around 1947 in discussions on *prison riots* (see *Out of the Crisis* page 270(pages 314–3..."
bare-page,content/days/day-03/02-at-the-ford-motor-company.qmd,9,page 30,3,30,,content/days/day-03/09-the-six-processes-revisited.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"On [page 2, in the Back to the Western Electric Company section](01-variation-the-enemy-of-quality.qmd#sec-page2) Dr Deming claimed that, if we mix up the two types of variation, <span class=""demin..."
bare-page,content/days/day-03/03-the-importance-of-time.qmd,124,page 229,3,229,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,Dr Deming included a few histograms in *Out of the Crisis*. I particularly like his commentary on the following histogram which I have redrawn from page 229[267] of his book:
bare-page,content/days/day-03/04-more-on-the-sales-data.qmd,110,page 48,3,48,,content/days/day-03/11-the-first-two-rules-of-the-funnel.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"Here I am able to become the ""All-Knowing""—because I know where these data originated. In fact, if you happen to have a copy of the second edition of my *Elementary Statistics Tables* (abbreviated ..."
bare-page,content/days/day-03/05-how-do-we-compute-control-limits.qmd,150,pages 82–84,3,82,84,,N,external-work-candidate,external-book candidate (also spans pages 82-84): book-title/author match nearby,"Fortunately, no. Sometimes we do use all of the available data to compute control limits retrospectively, i.e. when studying past behaviour of a process (as in the following section and also in the..."
bare-page,content/days/day-03/07-a-favourite-example.qmd,14,pages 227–228,3,227,228,,N,external-work-candidate,external-book candidate (also spans pages 227-228): book-title/author match nearby,The example described below is one which Dr Deming frequently showed in his four-day seminars and is covered on *Out of the Crisis* pages 227–228(264–266). Instead of simply reproducing what is sho...
bare-page,content/days/day-03/08-control-chart-and-brain.qmd,27,page 54,3,54,,content/days/day-03/12-rules-3-and-4-of-the-funnel.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"You may recall that the Ford histograms on [page 5, at the Ford Motor Company](02-at-the-ford-motor-company.qmd#sec-page5) showed the positions of Lower and Upper Specification Limits. Deming's dis..."
bare-page,content/days/day-03/09-the-six-processes-revisited.qmd,48,page 50,3,50,,content/days/day-03/12-rules-3-and-4-of-the-funnel.qmd,Y,link,,"*With regard to these illustrations using dice, it may be worth my reproducing a suggestion from EST page 50: ""Such 'games' [as in these illustrations] are a fast and effective way to gain experien..."
bare-page,content/days/day-03/09-the-six-processes-revisited.qmd,152,page 9,3,9,,content/days/day-03/03-the-importance-of-time.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"(d) There is a further illustration of the moving-range method on page 9 of the file ""Q. Contributions from Balaji Reddie""."
bare-page,content/days/day-04/01-introduction.qmd,13,pages 39–48,4,39,48,,N,external-work-candidate,external-book candidate (also spans pages 39-48): book-title/author match nearby,"My treatment of the 14 Points in those days was rather along the lines of what you can read on *DemDim* pages 39–48. I simply took them one at a time, giving a fairly full statement of the Point us..."
bare-page,content/days/day-04/01-introduction.qmd,21,page 84,4,84,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"I should point out that Deming mentioned two further Deadly Diseases on *Out of the Crisis* page 84[98], but described them as ""peculiar to industry in the US and beyond the scope of this book"". He..."
bare-page,content/days/day-04/01-introduction.qmd,65,page 31,4,31,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"<div class=""return_callout"" role=""note"" aria-label=""Study resource"">Now please read *DemDim* from the bottom of page 31 to the end of page 36.</div>"
bare-page,content/days/day-04/01-introduction.qmd,65,page 36,4,36,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"<div class=""return_callout"" role=""note"" aria-label=""Study resource"">Now please read *DemDim* from the bottom of page 31 to the end of page 36.</div>"
bare-page,content/days/day-04/02-the-joiner-triangle.qmd,54,pages 34–35,4,34,35,,N,external-work-candidate,external-book candidate (also spans pages 34-35): book-title/author match nearby,"(3) On *DemDim* pages 34–35 we saw Lloyd Nelson's statement about the importance of ""unknown and unknowable"" figures, followed by a number of illustrations. Spend some time thinking of further exam..."
bare-page,content/days/day-04/02-the-joiner-triangle.qmd,118,page 428,4,428,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"<div class=""neave_note"" role=""note"" aria-label=""Author's note"">Because the notion of assessing quality in terms of conformance to specifications is so widespread, some may find Deming's teaching on..."
bare-page,content/days/day-04/02-the-joiner-triangle.qmd,132,page 33,4,33,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Take another look at Deming's Chain Reaction at the bottom of *DemDim* page 33. In later years, there was one link in the Chain Reaction which Dr Deming wished he had expressed differently. Can you..."
bare-page,content/days/day-04/02-the-joiner-triangle.qmd,156,page 32,4,32,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"On *DemDim* page 32, quoting from that great paper by Peter Scholtes and Heero Hacquebord, we saw:"
bare-page,content/days/day-04/02-the-joiner-triangle.qmd,315,page 35,4,35,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"First, you will have already read on *DemDim* page 35 that ""Topics which can be included under this general heading [Scientific Approach] take up a considerable proportion of this book"". It include..."
bare-page,content/days/day-04/03-the-first-project.qmd,29,pages 39–52,4,39,52,,N,external-work-candidate,external-book candidate (also spans pages 39-52): book-title/author match nearby,"- I recommend that, whilst working on this project, you read my short discussions on *DemDim* pages 39–52 about each Point and Disease in turn. They will help you to expand upon the introductory no..."
bare-page,content/days/day-04/04-points-1-to-6.qmd,14,page 3,4,3,,,N,anchor-needed,,"Notice the nice link with the Deming Chain Reaction, finishing up (as in both versions of the Chain Reaction—see the bottom of page 3) with ""provide jobs"". We have already commented ([Day 1 page 23..."
bare-page,content/days/day-04/04-points-1-to-6.qmd,250,page 33,4,33,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"<div class=""neave_note"" role=""note"" aria-label=""Author's note"">An objection to Point 5 sometimes heard from those who are not yet in tune with what Deming was teaching is that ""we can't afford to k..."
bare-page,content/days/day-04/04-points-1-to-6.qmd,265,pages 79–82,4,79,82,,N,external-work-candidate,external-book candidate (also spans pages 79-82): book-title/author match nearby,"Without All One Team, Point 5 could in fact be rather dangerous, and I have come across examples. Such danger will be multiplied if teams are encouraged or even forced to compete with each other (i..."
bare-page,content/days/day-05/02-points-7-to-14.qmd,13,page 335,5,335,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,"Rather than my attempting to contrive introductory comments in this case, it will be far more useful for you to **turn to *DemDim* page 335 and read through the list of ""Attributes of a Leader""** w..."
