"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"Optional Extras",NA,NA,78,"prose","Finally, if and when you decide to venture into the **Optional Extras** but without printing that file, there are just two pages in both Parts A and B which you | Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr",TRUE
"standard deviation",NA,NA,77,"prose","Actually, it's a little misleading to talk of *""the""* normal distribution: there's a whole *family* of normal distributions. In particular, the ""bell-shape"" can | That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang | Also as previously, we are likely to be interested in some way of measuring the *variation* of the numbers in our subgroup. On Day 3 we became familiar with the",TRUE
"Rating (0–5):",NA,NA,76,"ui","./content/days/day-10/03-activity-10a.qmd | ./content/days/day-10/05-activity-10b.qmd | ./content/days/day-11/05-activity-11a.qmd",TRUE
"Your comments.",NA,NA,76,"ui","./content/days/day-10/03-activity-10a.qmd | ./content/days/day-10/05-activity-10b.qmd | ./content/days/day-11/05-activity-11a.qmd",TRUE
"Scientific Approach",NA,NA,74,"prose","### Scientific Approach | A very strong emphasis on viewing an organisation as a system is obvious throughout the Attributes of a Leader. The relevance of the Scientific Approach to unde | This is a case where what relates to the other two corners of the Triangle is also immediately relevant here. Regarding All One Team: although quality depends i",TRUE
"Red Beads Experiment",NA,NA,72,"prose","In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | But take a look back at Activity 1–e ( ) concerning the manager of the call-centre. What were your answers? The question there was in effect the same: how much  | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s",TRUE
"common-cause","causes communes","W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""variations aléatoires dues à des causes communes""",66,"prose|ui","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check  | What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr",FALSE
"joiner-triangle","","Aucune traduction française établie trouvée. Le ""Joiner triangle"" (Joiner Associates) n'apparaît pas avec un rendu normalisé dans la littérature Deming francophone. Rendu à décider (p. ex. ""triangle de Joiner"").",63,"prose","*(Return to [Day 4 page 4](../days/day-04/02-the-joiner-triangle.qmd#sec-page4).)* | *(Return to [Day 4 page 5](../days/day-04/02-the-joiner-triangle.qmd#sec-page5).)* | *(Return to [Day 4 page 10](../days/day-04/02-the-joiner-triangle.qmd#sec-page10) or continue on [Day 4 page 11](../days/day-04/02-the-joiner-triangle.qmd#sec-p",TRUE
"New Economics",NA,NA,62,"prose","Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | DEMING W Edwards, *The New Economics for Industry, Government, Education*. Massachusetts Institute of Technology, Center for Advanced Engineering Study, Cambrid | MIT Press (*Out of the Crisis* and *The New Economics*):",TRUE
"transformation","transformation","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""cette transformation nous ramène à la motivation intrinsèque""; J.-M. Gogue, ""Le management selon Deming"", https://www.fr-deming.org/afed-F60.pdf — ""la transformation du Japon""",60,"prose|ui","> ""We come back to this hotel (the Copthorne Orchid in Penang) year after year, as do many more people from the four corners of the Earth. The hotel is old, run | ### 2. The supposition that solving problems, automation, gadgets, and new machinery will transform industry. | At the time of first hearing of ""six-sigma"" quality, one of my frequent battles had been (and continued to be) that of getting people to think seriously of impr",FALSE
"Second Project",NA,NA,52,"prose","As mentioned near the end of the “Welcome” section, this is the reference list of preparatory tasks recommended for you to carry out between the different days  | **Before Day 10.** For details of your preparation for the Second Project: see . | **Before Day 11.** For details of preparation for the second half of the Second Project: see .",TRUE
"flow diagram",NA,NA,51,"prose","!Medical research organisation flow diagram | My main initial task was to help set up and supervise a company-wide training scheme, mostly on some of what are often referred to as the “old tools” or “seven  | The two diagrams shown on the next page, or close variants of them, will be seen again, particularly on Days 9 and 4 respectively. Their importance is indicated",TRUE
"Gallery Furniture",NA,NA,49,"prose","Gallery Furniture: | Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my se | As a relief from the possible gloom to do with diseases, obstacles, and the fact that many managers certainly do *not* regard the 14 Points as “Obligations”, on",TRUE
"operational-definition","définition opérationnelle","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""Les définitions opérationnelles donnent une signification communicable à un concept (voir le livre Hors de la Crise, chapitre 10)""; Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica",49,"prose|ui","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check  | Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into """,FALSE
"moving ranges",NA,NA,47,"prose","As before, the moving ranges are printed in italics: | I'll move straight on to **Rule 4** since that's the one you have dealt with most recently. The clue as to what happens to the control limits here follows direc | **Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges",TRUE
"theory-of-knowledge","Théorie de la connaissance","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La théorie de la connaissance""",47,"prose|ui","Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into "" | But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make s | A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of",FALSE
"Central Line",NA,NA,44,"prose","Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in var | !Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | The process appears to be in statistical control, but the distance from the Central Line to either Specification Limit is only around 4.5σ rather than the desir",TRUE
"psychology","Psychologie","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La connaissance de la psychologie""",42,"prose|r|ui","At the very start of the Psychology section, we observed a considerable concentration on system thinking, concerning interactions not only between people and ot | A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of | Where are we now? We have just mentioned matters to do with psychology. ""Knowledge of Psychology"" is the fourth and final part of the System of Profound Knowled",FALSE
"six sigma",NA,NA,42,"prose","Part E of the Optional Extras: ""Is There *Anything* Normal about Control Charts?"" is effectively a rewrite of the sixth of those short articles. That article wa | But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | Finally in this preamble to my revision of the seventh *SPC—Back to the Future* article, ""six-sigma"" quality is involved with judging quality in terms of confor",TRUE
"Stats level",NA,NA,42,"prose","There is a close analogy in the branch of traditional Statistics known as the Design of Experiments or Analysis of Variance (so if you're Stats-level 0 then you | Now of course, in a sense, part of this discussion has become academic: in practice, when either Rule 3 or 4 behaviour starts to become at all extreme then it w | So how can I guide you through these various possibilities? I’m going to ask you to choose which of four “Stats-levels” you feel is most suitable for you. Stats",TRUE
"understanding variation",NA,NA,41,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | The subject of Statistics has largely been developed by mathematicians: indeed it is sometimes regarded simply (and wrongly) as merely a branch of Mathematics.  | Mathematics has, of course, contributed greatly to the development of Statistics. And, reflecting our interpretation of “Statistics” as “understanding variation",TRUE
"Type your comments here.",NA,NA,40,"ui","./content/days/day-01/07-quality-theory.qmd | ./content/days/day-01/08-attraction.qmd | ./content/days/day-02/01-run-charts.qmd",TRUE
"Technical Aid",NA,NA,38,"prose|ui","## Technical Aid 4 | Now of course, in a sense, part of this discussion has become academic: in practice, when either Rule 3 or 4 behaviour starts to become at all extreme then it w | So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest ",TRUE
"loss function",NA,NA,37,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Years later, when I first came across the Taguchi Loss Function (studied on Day 7), I found rather more justification for concentrating on the variance than pur",TRUE
"performance appraisal",NA,NA,37,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | As covered in my discussion, the whole concept of judgmental performance appraisal flies in the face of the fundamental understanding of variation: where does m | On , I include what I trust are some wise words on putting theory into practice. I advise doing things gradually rather than precipitously and I spend a little ",TRUE
"Commentary",NA,NA,35,"ui","./content/days/day-01/07-quality-theory.qmd | ./content/days/day-02/01-run-charts.qmd | ./content/days/day-02/02-intro-to-the-red-beads-experiment.qmd",TRUE
"difference between",NA,NA,35,"prose","Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or shou | The run chart for Simulation A's Rule 3 surprised me. I imagine it may also surprise you, assuming you had lots of fun and used games with Rule 3. In other word | Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into """,TRUE
"continual improvement",NA,NA,34,"prose","| Worker | Remark | |---|---| | Audrey’s 16 | “What a terrible start. But you’ve only just been trained—weren’t you watching?” | | John’s 9 | “That’s better.” | | You might possibly regard the first issue as somewhat ""quirky"", but some people are puzzled by it. Both phrases ""continuous improvement"" and ""continual improvem | I was delighted when, several years ago, I first heard the phrase ""six-sigma quality"", made famous through the quality programme bearing that name at Motorola, ",TRUE
"Edwards Deming",NA,NA,34,"prose","KILIAN Cecelia S, *The World of W Edwards Deming*. SPC Press, Knoxville, TN (2nd edition 1992). | WEDI (The W Edwards Deming Institute) (USA): | After Japan faced the repeated wrath of the tsunamis and earthquakes in 2011, they managed to resurrect themselves remarkably quickly. A note was sent from the ",TRUE
"top management",NA,NA,33,"prose","## Point 14. Top management commitment and action *( )* | Recall the emphasis on *innovation* in the discussion of Point 1 in *Out of the Crisis*. There (on page 24*[25]* of his book) Dr Deming states unambiguously tha | Improvement of quality and productivity, to be successful in any company, must be a learning process, year by year, top management leading the whole company.",TRUE
"cause variation",NA,NA,32,"prose","### Common-cause variation is much larger than expected | One important fact to learn and appreciate is how *large* common-cause variation (variation produced by the system) can be. With 20% of the beads being red, it  | This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly und",TRUE
"Deming's teaching",NA,NA,32,"prose","But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my se | Along with all of this knowledge, we have seen something of how the Japanese not only learned from, but also *interpreted* and *applied*, Deming's teaching. The",TRUE
"First Project",NA,NA,31,"prose","As already observed, there cannot be much that was written earlier under ""All One Team"" that does not identify directly here with [""work together""] . We have al | The style of what I have to say here is much the same as for Activity 10–a. In this case, the eye is most immediately drawn to the ""Scientific Approach"" corner  | Yet again, this pattern is quite well-reflected in what happens during this course. For example, there is often some discussion on the various requests for acti",TRUE
"Taguchi loss",NA,NA,31,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Actually, if you want to measure ""quality"", a little mathematics shows that Taguchi's study of ""loss"" leads to a very neat criterion. (For those who are interes",TRUE
"conventional Statistics",NA,NA,30,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | So the original readers, like Balaji, of the seventh article were already familiar with the previous six articles—whereas you, of course, are not. Alternatively",TRUE
"six-processes","","Aucune traduction française établie trouvée dans la littérature Deming francophone pour ""Six Processes"" en tant que cadre nommé. (Gogue emploie ""étude des processus"" pour un concept distinct, https://www.fr-deming.org/afed-F60.pdf.) Rendu à décider.",30,"prose","**Before Day 3.** The more important task here is to prepare for the Funnel Experiment: see [Day 2 pages 43–44](../days/day-02/09-postscript.qmd#sec-page43) and | Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now,",TRUE
"Willing Workers",NA,NA,30,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | That is not what the Foreman thought—he thought it was *all* due to the Willing Workers! | Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker",TRUE
"probability distribution",NA,NA,29,"prose","No probabilities, no fancy theory, no assumptions about any particular probability distribution, etc—*experience*! Shewhart carried out a lot of experimentation | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | Portrayal of the probabilities of all possible individual outcomes in the situation being considered, either as a picture like that on page 38 or just the numbe",TRUE
"zig zag",NA,NA,28,"prose","**Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges | Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in var | ### Rules 2 and/or 3 (""zig-zag"")",TRUE
"Control Limit",NA,NA,27,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | !First long Rule 2 control chart: persistent zig-zag pattern throughout all 50 points, with the run line never approaching either control limit — the hugging-th",TRUE
"normally distributed",NA,NA,27,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Nevertheless, the normal distribution has such appealing mathematical properties for the conventional statistician that I need to tell you a little more about i",TRUE
"process limits",NA,NA,27,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | It is when processes are *only* being affected by such inherent causes that they fluctuate between their natural process limits. We say that processes are ""norm | Walter Shewhart referred to both types of fluctuations as ""variation"". By a process behaving ""normally"" we mean it has ""normal"" variation. (Incidentally, in cas",TRUE
"Central Limit",NA,NA,26,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | For example, the ""conventional"" student has been taught that both the theory and ""validity"" of control charts depend upon traditional Mathematical Statistical f",TRUE
"Central Limit Theorem",NA,NA,25,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | For example, the ""conventional"" student has been taught that both the theory and ""validity"" of control charts depend upon traditional Mathematical Statistical f",TRUE
"Deming philosophy",NA,NA,25,"prose","My acquaintance was, in fact, also now a member of staff in another part of the same university. This was around the time that British universities were first b | > And for the third time, here I have quoted all that Dr Deming wrote for a particular Obstacle. > > This Obstacle struck a loud chord for me. In my very early  | That note was written by Dr Deming's elder daughter, Diana. One of the most distinguishing features of the Deming philosophy is the understanding of the pros an",TRUE
"pdsa-cycle","PDSA","Contesté. Deming désavoue ""PDCA""/""roue de Deming"" et préfère ""cycle de Shewhart"" / PDSA (J.-M. Gogue, ""PDCA : méfiez-vous des imitations"", https://www.fr-deming.org/afed-F54.pdf; Roue de Deming — Wikipédia FR, https://fr.wikipedia.org/wiki/Roue_de_Deming). Aucune traduction FR normalisée du sigle PDSA (Plan-Do-Study-Act); ""Planifier-Développer-Étudier-Agir"" non confirmée.",25,"prose","## PDSA cycle (Plan-Do-Study-Act) {#pdsa-cycle} | An iterative improvement cycle: Plan, Do, Study, Act. Deming preferred ""Study"" over the simpler ""Check"" because the third step is where the real learning takes  | [First defined in context: Day 1, ""The Deming story""](../days/day-01/11-deming-story.qmd#pdsa-cycle).",TRUE
"Taguchi loss function",NA,NA,25,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Years later, when I first came across the Taguchi Loss Function (studied on Day 7), I found rather more justification for concentrating on the variance than pur",TRUE
"conventional statistician",NA,NA,24,"prose","Nevertheless, the normal distribution has such appealing mathematical properties for the conventional statistician that I need to tell you a little more about i | So, whether or not you have a background in conventional Statistics, there you have many clues as to why much of the remaining content has been included within  | Assuming you do not have much or any background in conventional Statistics, this section will (like the first section) contain some words, terms and phrases wit",TRUE
"moving range",NA,NA,24,"prose","The moving ranges add up to 18. There are nine of them and so the average moving range is = 18 ÷ 9 = 2 minutes. Then, if you recall, we compute the distance on  | But, with our knowledge of what Rule 2 is, isn't that precisely what we would expect? Rule 2's compensation mechanism virtually ensures that particularly high v | That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang",TRUE
"organisation chart",NA,NA,24,"prose","> ""It all goes back to understanding a system. And that is the way I taught the Japanese top management in 1950. The aim of the system. Draw a flow diagram: wha | An organisation chart! How the organisation should be organised! As opposed to what? Well, I think you may agree that there is some rather neat implicit teachin | So what? One way of answering that question is to relate something further that I learned from Peter Scholtes; and (not by coincidence, I suggest) this is ""up-f",TRUE
"random variables",NA,NA,24,"prose","A straightforward yet vital property of expected values is that they are *additive*. If we express this property in terms of ""long-term averages"" you will soon  | But what about the expected value of the *product* of two random variables? (""Product"" is the jargon for *multiplying* two or more things together.) So is equal | But back to the original question: is the expected value of the product of two (or more) random variables equal to the product of their individual expected valu",TRUE
"true stories",NA,NA,24,"prose","## Two true stories | Let's look at a couple of true stories to illustrate these important matters. | Hopefully encouraged by that story, we return on Day 7 to many of the problematic matters that are raised in the 14 Points, etc. Day 7 includes numerous true st",TRUE
"probability distributions",NA,NA,23,"prose","My great friend Don Wheeler (from whom I've learned so much over the years) told me about a family of probability distributions that was studied by Irving W Bur | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev",TRUE
"random variable",NA,NA,23,"prose","In Statistics books and courses you will often see the term ""random variable"", and I shall also use this term from time to time later in this material. A ""rando | However, before moving on to that section, let's get into just a little detail about probabilities when we have a normal distribution. So far we have establishe | On the next page there are the same three ""graphs of the normal curve"" as above but now with some ""proportions of area thereunder"" inserted. So, as an example, ",TRUE
"See Appendix",NA,NA,23,"prose","(For brief discussion see Appendix page 6.) | *(For brief but very important discussion, see Appendix page 7 one more time.)* | (For discussion see Appendix page 14.)",TRUE
"Your notes on this item.",NA,NA,23,"ui","./content/days/day-10/02-appreciation-for-a-system.qmd | ./content/days/day-10/04-theory-of-variation.qmd | ./content/days/day-11/02-theory-of-knowledge-prediction.qmd",TRUE
"crash course",NA,NA,22,"prose","This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | So the original readers, like Balaji, of the seventh article were already familiar with the previous six articles—whereas you, of course, are not. Alternatively | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(**",TRUE
"Deming Dimension",NA,NA,22,"prose","NEAVE, H R, *The Deming Dimension*. SPC Press, Knoxville, TN (1990). | Also in America, SPC Press Inc ( ), who published my book *The Deming Dimension* in 1990 (see pages 12–13 in the Welcome section of file A. PLEASE START HERE),  | ## The Deming Dimension",TRUE
"run charts",NA,NA,22,"prose","**Rule 2** is yet another matter. Unusually, this overcompensation problem is often quite difficult to recognise by comparing run charts alone. There is some te | If you are intending to study Part A: ""Using Control Charts on Funnel Experiment data"" then on pages 6 and 7 you will need to draw run-charts and then control c | As you'll recall, in Major Activity 3–h you summarised your data from Rules 1 and 2 of the Funnel on histograms and your data from Rules 3 and 4 on run charts. ",TRUE
