term_en,decision,approved_fr,reviewer_notes
Technical Aids,translate,Aides techniques,"Plural of the course-structural label 'Technical Aid' -- literal translation suggested pending reviewer spot-check."
Technical Section,translate,Section technique,"Course-structural label with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
New Climate,translate,Nouveau climat,"Course-structural label (contrasted with 'Old Climate') with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
Old Climate,translate,Ancien climat,"Course-structural label (contrasted with 'New Climate') with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
New Way,translate,Nouvelle façon,"Course-structural label (contrasted with 'Old Way') with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
Old Way,translate,Ancienne façon,"Course-structural label (contrasted with 'New Way') with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
Table Five,translate,Tableau Cinq,"Course-structural enumeration label (Table One...Table Five) with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
top management,translate,la direction,"Standard, uncontested business-French rendering pending reviewer spot-check; appears repeatedly as a stable concept (Point 14 heading), not incidental prose."
difference between,translate,différence entre,"Compositionally transparent connector phrase with a single uncontested rendering -- literal translation suggested pending reviewer spot-check."
See Appendix,translate,Voir l'annexe,"Stable navigational phrase (always followed by a masked page cross-reference) with no domain ambiguity -- literal translation suggested pending reviewer spot-check."
