"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"standard deviation",,,77,"prose","Actually, it's a little misleading to talk of *""the""* normal distribution: there's a whole *family* of normal distributions. In particular, the ""bell-shape"" can | That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang | Also as previously, we are likely to be interested in some way of measuring the *variation* of the numbers in our subgroup. On Day 3 we became familiar with the",TRUE,,,
"0–5",,,76,"ui","./content/days/day-10/03-activity-10a.qmd | ./content/days/day-10/05-activity-10b.qmd | ./content/days/day-11/05-activity-11a.qmd",TRUE,,,
"Rating (0–5):",,,76,"ui","./content/days/day-10/03-activity-10a.qmd | ./content/days/day-10/05-activity-10b.qmd | ./content/days/day-11/05-activity-11a.qmd",TRUE,,,
"Your comments.",,,76,"ui","./content/days/day-10/03-activity-10a.qmd | ./content/days/day-10/05-activity-10b.qmd | ./content/days/day-11/05-activity-11a.qmd",TRUE,,,
"Scientific Approach",,,74,"prose","### Scientific Approach | A very strong emphasis on viewing an organisation as a system is obvious throughout the Attributes of a Leader. The relevance of the Scientific Approach to unde | This is a case where what relates to the other two corners of the Triangle is also immediately relevant here. Regarding All One Team: although quality depends i",TRUE,,,
"four day",,,73,"prose","And so I think we now have several reasons to explain the paradox being considered. Why isn’t the control chart in most introductory (or even later) Statistics  | Here is a selection of illustrations *suggested by delegates* in the earliest four-day seminars at which Dr Deming included the Funnel Experiment. As suggested, | A delegate at a four-day seminar ventured to quote the well-known saying: ""If you can't measure it, you can't manage it"". Deming's typically brief and pointed r",TRUE,,,
"Beads Experiment",,,72,"prose","In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | But take a look back at Activity 1–e ( ) concerning the manager of the call-centre. What were your answers? The question there was in effect the same: how much  | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s",TRUE,,,
"Red Beads Experiment",,,72,"prose","In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | But take a look back at Activity 1–e ( ) concerning the manager of the call-centre. What were your answers? The question there was in effect the same: how much  | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s",TRUE,,,
"Appendix page",,,68,"prose","If either you never got round to reading that material which begins on Appendix page 15, or it's been quite a while since you did so, I suggest you first read t | Obviously, I don't know how your data turned out, so I can't describe what you will or won't see. So it's over to you now to discover what happens. When you ret | Whereas Rule 3's short control charts did not give much warning of the horrors to come, Rule 4's short charts immediately show conclusive evidence of severe pro",TRUE,,,
"common-cause","causes communes","W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""variations aléatoires dues à des causes communes""",66,"prose|ui","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check  | What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr",FALSE,"causes communes","translate",
"DemDim page",,,63,"prose","As we know, Points 1 and 5 and the first Deadly Disease are concerned with genuine, sustained and sustainable improvement, and that most certainly is what the D | Suppose we are studying a particular process. Let's assume we know of five factors that are likely to be affecting its performance. After observing the process  | These were the starting-points in the three cases. Then what? In the case of the young boy, he began to observe carefully and eventually came up with his initia",TRUE,,,
"joiner-triangle","","Aucune traduction française établie trouvée. Le ""Joiner triangle"" (Joiner Associates) n'apparaît pas avec un rendu normalisé dans la littérature Deming francophone. Rendu à décider (p. ex. ""triangle de Joiner"").",63,"prose","*(Return to [Day 4 page 4](../days/day-04/02-the-joiner-triangle.qmd#sec-page4).)* | *(Return to [Day 4 page 5](../days/day-04/02-the-joiner-triangle.qmd#sec-page5).)* | *(Return to [Day 4 page 10](../days/day-04/02-the-joiner-triangle.qmd#sec-page10) or continue on [Day 4 page 11](../days/day-04/02-the-joiner-triangle.qmd#sec-p",TRUE,,,
"New Economics",,,62,"prose","Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | DEMING W Edwards, *The New Economics for Industry, Government, Education*. Massachusetts Institute of Technology, Center for Advanced Engineering Study, Cambrid | MIT Press (*Out of the Crisis* and *The New Economics*):",TRUE,,,
"transformation","transformation","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""cette transformation nous ramène à la motivation intrinsèque""; J.-M. Gogue, ""Le management selon Deming"", https://www.fr-deming.org/afed-F60.pdf — ""la transformation du Japon""",60,"prose|ui","> ""We come back to this hotel (the Copthorne Orchid in Penang) year after year, as do many more people from the four corners of the Earth. The hotel is old, run | ### 2. The supposition that solving problems, automation, gadgets, and new machinery will transform industry. | At the time of first hearing of ""six-sigma"" quality, one of my frequent battles had been (and continued to be) that of getting people to think seriously of impr",FALSE,"transformation","translate",
"DemDim Chapter",,,55,"prose","Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker | Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | There is considerable wisdom in understanding the *limitations* of figures as a vital part of maturity in the Scientific Approach—or indeed of a statistician—bu",TRUE,,,
"long term",,,52,"prose","One important fact to learn and appreciate is how *large* common-cause variation (variation produced by the system) can be. With 20% of the beads being red, it  | Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or shou | The almost automatic presumption that the long-term proportion of red beads obtained in the experiment must equal the proportion of red beads in the container i",TRUE,,,
"Second Project",,,52,"prose","As mentioned near the end of the “Welcome” section, this is the reference list of preparatory tasks recommended for you to carry out between the different days  | **Before Day 10.** For details of your preparation for the Second Project: see . | **Before Day 11.** For details of preparation for the second half of the Second Project: see .",TRUE,,,
"flow diagram",,,51,"prose","!Medical research organisation flow diagram | My main initial task was to help set up and supervise a company-wide training scheme, mostly on some of what are often referred to as the “old tools” or “seven  | The two diagrams shown on the next page, or close variants of them, will be seen again, particularly on Days 9 and 4 respectively. Their importance is indicated",TRUE,,,
"Gallery Furniture",,,49,"prose","Gallery Furniture: | Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my se | As a relief from the possible gloom to do with diseases, obstacles, and the fact that many managers certainly do *not* regard the 14 Points as “Obligations”, on",TRUE,,,
"operational-definition","définition opérationnelle","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""Les définitions opérationnelles donnent une signification communicable à un concept (voir le livre Hors de la Crise, chapitre 10)""; Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica",49,"prose|ui","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check  | Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into """,FALSE,"définition opérationnelle","translate",
"day seminars",,,48,"prose","And so I think we now have several reasons to explain the paradox being considered. Why isn’t the control chart in most introductory (or even later) Statistics  | Here is a selection of illustrations *suggested by delegates* in the earliest four-day seminars at which Dr Deming included the Funnel Experiment. As suggested, | The notion that people always need a ""reward"" for doing good things has become so deep-seated that Dr Deming occasionally fell into the same trap himself! He re",TRUE,,,
"four day seminars",,,48,"prose","And so I think we now have several reasons to explain the paradox being considered. Why isn’t the control chart in most introductory (or even later) Statistics  | Here is a selection of illustrations *suggested by delegates* in the earliest four-day seminars at which Dr Deming included the Funnel Experiment. As suggested, | The notion that people always need a ""reward"" for doing good things has become so deep-seated that Dr Deming occasionally fell into the same trap himself! He re",TRUE,,,
"moving ranges",,,48,"prose","As before, the moving ranges are printed in italics: | I'll move straight on to **Rule 4** since that's the one you have dealt with most recently. The clue as to what happens to the control limits here follows direc | **Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges",TRUE,,,
"theory-of-knowledge","Théorie de la connaissance","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La théorie de la connaissance""",47,"prose|ui","Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into "" | But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make s | A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of",FALSE,"Théorie de la connaissance","translate",
"four parts",,,45,"prose","I can give some personal answers to these questions which have considerable relevance to what follows. (The “bullets” here relate to the four parts of this Paus | Our Preludes here respectively contain some introductory thoughts and illustrations on each of those four parts: | Where are we now? We have just mentioned matters to do with psychology. ""Knowledge of Psychology"" is the fourth and final part of the System of Profound Knowled",TRUE,,,
"Central Line",,,44,"prose","Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in var | !Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | The process appears to be in statistical control, but the distance from the Central Line to either Specification Limit is only around 4.5σ rather than the desir",TRUE,,,
"short term",,,44,"prose","There is now no zig-zags with Rule 4. Instead, Rule 4 usually just gently ""wanders around"" (mathematicians often refer to this as a ""random walk""). It may mostl | And Rule 4 is really dangerous. Remember its motivation is to reduce *short-term* variation—which it succeeds in doing. Thus often it really does appear to be e | I'll move straight on to **Rule 4** since that's the one you have dealt with most recently. The clue as to what happens to the control limits here follows direc",TRUE,,,
"psychology","Psychologie","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La connaissance de la psychologie""",42,"prose|r|ui","At the very start of the Psychology section, we observed a considerable concentration on system thinking, concerning interactions not only between people and ot | A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of | Where are we now? We have just mentioned matters to do with psychology. ""Knowledge of Psychology"" is the fourth and final part of the System of Profound Knowled",FALSE,"Psychologie","translate",
"six sigma",,,42,"prose","Part E of the Optional Extras: ""Is There *Anything* Normal about Control Charts?"" is effectively a rewrite of the sixth of those short articles. That article wa | But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | Finally in this preamble to my revision of the seventh *SPC—Back to the Future* article, ""six-sigma"" quality is involved with judging quality in terms of confor",TRUE,,,
"Stats level",,,42,"prose","There is a close analogy in the branch of traditional Statistics known as the Design of Experiments or Analysis of Variance (so if you're Stats-level 0 then you | Now of course, in a sense, part of this discussion has become academic: in practice, when either Rule 3 or 4 behaviour starts to become at all extreme then it w | So how can I guide you through these various possibilities? I’m going to ask you to choose which of four “Stats-levels” you feel is most suitable for you. Stats",TRUE,,,
"understanding variation",,,41,"prose","If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr | The subject of Statistics has largely been developed by mathematicians: indeed it is sometimes regarded simply (and wrongly) as merely a branch of Mathematics.  | Mathematics has, of course, contributed greatly to the development of Statistics. And, reflecting our interpretation of “Statistics” as “understanding variation",TRUE,,,
"read through",,,40,"prose","As mentioned in the main text, if you'd like to examine the actual control charts discussed here, take some ""time out"" to read through Part A of the Optional Ex | This Activity reminds me of an e-mail I received from my friend Dave Young after he had read through parts of this course while on holiday early in 2015 (there  | If either you never got round to reading that material which begins on Appendix page 15, or it's been quite a while since you did so, I suggest you first read t",TRUE,,,
"Type your comments here.",,,40,"ui","./content/days/day-01/07-quality-theory.qmd | ./content/days/day-01/08-attraction.qmd | ./content/days/day-02/01-run-charts.qmd",TRUE,,,
"Day page",,,39,"prose","Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my se | After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | In 1936, when he was in England studying the theory of statistics with Sir Ronald Fisher at London's University College, he befriended a very famous Indian stat",TRUE,,,
"Technical Aid",,,38,"prose|ui","## Technical Aid 4 | Now of course, in a sense, part of this discussion has become academic: in practice, when either Rule 3 or 4 behaviour starts to become at all extreme then it w | So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest ",TRUE,,,
"Let me",,,37,"prose","Finally, let me bring together a few of the important illustrations we have described. First, the salesman who lied was in all probability selling more than cou | Let me tell you about a fancy-dress festival organised as part of a school gathering at a famous school in Pune. All the children came dressed in the most ridic | Let me relate a sad experience I had whilst visiting a very famous company in Pune. I came across a poster on the shop-floor which supposedly described KAIZEN. ",TRUE,,,
"loss function",,,37,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Years later, when I first came across the Taguchi Loss Function (studied on Day 7), I found rather more justification for concentrating on the variance than pur",TRUE,,,
"my own",,,37,"prose","In order to aid my own learning from the Funnel Experiment, I wrote a computer simulation of the whole of this Major Activity, including fixing the first five d | In the post-match conference, he was asked what was going on in his mind at the instant just described. His answer was simple: ""I was too focused on trying to b | After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y",TRUE,,,
"performance appraisal",,,37,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | As covered in my discussion, the whole concept of judgmental performance appraisal flies in the face of the fundamental understanding of variation: where does m | On , I include what I trust are some wise words on putting theory into practice. I advise doing things gradually rather than precipitously and I spend a little ",TRUE,,,
"times tfrac",,,37,"prose","$$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac \quad\text \quad \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \bar = 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac . $$ | $$ \begin \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.800, \\ \bar &= 0 \times \tfrac + 1 \times \tfrac + 2 \times \tfrac = 0.930, \\ \bar &",TRUE,,,
"difference between",,,36,"prose","Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or shou | The run chart for Simulation A's Rule 3 surprised me. I imagine it may also surprise you, assuming you had lots of fun and used games with Rule 3. In other word | (2) Control limits inform us about the extent of variation being produced by the system. It follows that *where* a result lies between those limits—relatively h",TRUE,,,
"Commentary",,,35,"ui","./content/days/day-01/07-quality-theory.qmd | ./content/days/day-02/01-run-charts.qmd | ./content/days/day-02/02-intro-to-the-red-beads-experiment.qmd",TRUE,,,
"continual improvement",,,35,"prose","| Worker | Remark | |---|---| | Audrey’s 16 | “What a terrible start. But you’ve only just been trained—weren’t you watching?” | | John’s 9 | “That’s better.” | | You might possibly regard the first issue as somewhat ""quirky"", but some people are puzzled by it. Both phrases ""continuous improvement"" and ""continual improvem | I was delighted when, several years ago, I first heard the phrase ""six-sigma quality"", made famous through the quality programme bearing that name at Motorola, ",TRUE,,,
"cause variation",,,34,"prose","### Common-cause variation is much larger than expected | One important fact to learn and appreciate is how *large* common-cause variation (variation produced by the system) can be. With 20% of the beads being red, it  | This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly und",TRUE,,,
"Edwards Deming",,,34,"prose","KILIAN Cecelia S, *The World of W Edwards Deming*. SPC Press, Knoxville, TN (2nd edition 1992). | WEDI (The W Edwards Deming Institute) (USA): | After Japan faced the repeated wrath of the tsunamis and earthquakes in 2011, they managed to resurrect themselves remarkably quickly. A note was sent from the ",TRUE,,,
"top management",,,33,"prose","## Point 14. Top management commitment and action *( )* | Recall the emphasis on *innovation* in the discussion of Point 1 in *Out of the Crisis*. There (on page 24*[25]* of his book) Dr Deming states unambiguously tha | Improvement of quality and productivity, to be successful in any company, must be a learning process, year by year, top management leading the whole company.",TRUE,,,
"Crisis page",,,32,"prose","Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker | Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or shou | Fear increases variation in so many obvious ways. People or groups ""doing their own thing"" for personal survival clearly increases variation. Another frequent o",TRUE,,,
"Deming's teaching",,,32,"prose","But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my se | Along with all of this knowledge, we have seen something of how the Japanese not only learned from, but also *interpreted* and *applied*, Deming's teaching. The",TRUE,,,
"conventional Statistics",,,31,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | This article that Balaji Reddie has been very keen for me to show you (see his ""Contributions"" page 33) was the seventh in a series of eight short articles that | So the original readers, like Balaji, of the seventh article were already familiar with the previous six articles—whereas you, of course, are not. Alternatively",TRUE,,,
"First Project",,,31,"prose","As already observed, there cannot be much that was written earlier under ""All One Team"" that does not identify directly here with [""work together""] . We have al | The style of what I have to say here is much the same as for Activity 10–a. In this case, the eye is most immediately drawn to the ""Scientific Approach"" corner  | Yet again, this pattern is quite well-reflected in what happens during this course. For example, there is often some discussion on the various requests for acti",TRUE,,,
"next page",,,31,"prose","One important fact to learn and appreciate is how *large* common-cause variation (variation produced by the system) can be. With 20% of the beads being red, it  | I was delighted when, several years ago, I first heard the phrase ""six-sigma quality"", made famous through the quality programme bearing that name at Motorola,  | So, as we shall see on the next page, in *The New Economics* Dr Deming said that our need is to [""restore the individual, and do so in the complexities of inter",TRUE,,,
"Taguchi loss",,,31,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | [""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Actually, if you want to measure ""quality"", a little mathematics shows that Taguchi's study of ""loss"" leads to a very neat criterion. (For those who are interes",TRUE,,,
"Willing Workers",,,31,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | That is not what the Foreman thought—he thought it was *all* due to the Willing Workers! | Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the worker",TRUE,,,
"six-processes","","Aucune traduction française établie trouvée dans la littérature Deming francophone pour ""Six Processes"" en tant que cadre nommé. (Gogue emploie ""étude des processus"" pour un concept distinct, https://www.fr-deming.org/afed-F60.pdf.) Rendu à décider.",30,"prose","**Before Day 3.** The more important task here is to prepare for the Funnel Experiment: see [Day 2 pages 43–44](../days/day-02/09-postscript.qmd#sec-page43) and | Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now,",TRUE,,,
